Código|Entidad|Tipo Solicitud|Solicitud|Asunto|Fecha de Solicitud|Estado|Fecha de Estado
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258106|16 Eliminación de Usuarios|05/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258130|baja 1 vendedor/ wilson Velasquez|05/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258132|2 ELIMINACION USUARIOS X CESE LABORAL|05/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258148|01 TRABAJADOR-02 APLICATIVOS-CREACION-CAJA|05/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258250|12 CREACIONES DE USUARIOS PORTAL DE CANALES Y WEB|06/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258255|+ SIMPLE-CREACION 02 USUARIOS|06/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258279|2 usuarios crear Pin de Autogestion STC|06/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258281|CREACION DE CODIGOS|06/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258312|1 ELIMINACIÓN DE CUENTAS POR CAMBIO DE FUNCIONES|06/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258351|01 TRABAJADOR - CALCULADORA ARPU - ASOCIAR|06/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258365|APOYO CON CREACION USUARIOS CUM / WEB CONTRATOS - ZONAL HUACHO|06/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258405|01 trabajadores, 01 aplicativo, CREAR JTELLER -FQ ATOCONGO - TABOADA|06/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258464|Eliminación 01 usuario Citrix, stc,portal de canales por cese de personal.|06/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258492|CREACION DE COD DE VENDEDORES AG DIGITAL|07/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258526|CREACION DE 4 USUARIOS PORTAL DE CANALES Y WEB CONTRATOS|07/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258588|1 ELIMINACION USUARIOS X CESE LABORAL|07/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258602|CREAR 03 USUARIOS WEB INFODOC - FQ VISATECH AQP|07/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258633|17 usuarios Crear Infodoc|07/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258645|13 CREACIONES DE CUENTA INFODOC|07/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258651|2 TRABAJADORES - CREAR MAS SIMPLE- LIDERES|07/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258652|1 trabajador, 01 aplicativo, STC AG 14 ACTIVADOR, modificar.|07/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258708|1 Trabajador, 1aplicativo, USUARIO WEB RECIBOS ó INFODOC, crear|07/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258720|1 TRABAJADOR - TRASLADAR TODOS LOS USUARIOS - SANTA ANITA|07/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258771|SOLICITUD DE CREACIÓN DE USUARIO INTERCONNECT|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258786|01 CREACION 02 APLICATIVOS CITRIX / + SIMPLE|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258816|01 CREACION (APLICATIVOS Y +SIMPLE) - FQ SAN MIGUEL - SOTO|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258818|DESBLOQUEO USUARIOS INTERCONNECT|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258824|DESBLOQUEO INTERCONNECT|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258832|RESETEO 09 USUARIOS EQUIFAX - PORTABILIDAD DIGITEX|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258833|DESBLOQUEO DE INTERCONECT|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258849|01 CREACION (APLICATIVOS Y +SIMPLE) - FQ OLIVOS - GUERRERO|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258853|01 CREACION (APLICATIVOS Y +SIMPLE) - FQ PLN - ALIGA|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258854|01 CREACION (APLICATIVOS Y +SIMPLE) - FQ PLN - SANCHEZ|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258858|01 CREACION (APLICATIVOS Y +SIMPLE) - FQ PLAZA LIMA SUR - RAMOS|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258874|MODIFICACIÓN USUARIO +SIMPLE|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258877|RESETEO 01 USUARIO EQUIFAX - DIGITEX|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258880|20 TRABAJADORES_1APLICATIVO_RESETEAR EQUIFAX, CANAL VIRTUAL GSS ONLINE|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258898|+ SIMPLE-TRASLADO 01 USUARIO|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258905|2 Creación de PIN para autogestión de reseteos|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258909|Crear_2_+Simple + Accesos|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258911|16 USUARIOS CREAR INFODOC|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258922|Crear_3_+Simple + Accesos|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258959|+ SIMPLE-CREACION 02 USUARIOS|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258973|03 trabajadores, aplicativos, ELIMINAR, FQ PLS - BAJA POR CESE|08/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259028|1 trabajador, 1 aplicativo, CREAR + SIMPLE AG CHIMBOTE|09/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259032|1 trabajador, 1 aplicativo, CREAR + SIMPLE,CRM CHEPEN|09/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259050|01 trabajador, 01 aplicativo, CREAR +SIMPLE: Miguel Jeri|09/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259062|CREACION 1 USUARIO + SIMPLE|10/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259064|ELIMINACION 3 TRABAJADORES //CESE LABORAL|10/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259088|CREACION 20 USUARIOS PDM NEGOCIOS TOP V|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259091|CREACION 14 USUARIOS PDM NEGOCIOS TOP I|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259123|06 CREACIONES DE CODIGOS CUM - PORTAL DE CANALES Y WEB CONTRATOS|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259141|30 Creación de EQUIFAX - CATV Part.02|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259162|RESETEO 01 USUARIO FUNCIONARIO - DIGITEX|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259204|01 Trabajador, 01 Aplicativo MODIFICAR + SIMPLE -FQ SAN MIGUEL|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259249|01 trabajador-01 aplicativo-reinstalacion-citrix|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259252|APOYO CON 1 CREACION USUARIO +SIMPLE AMDOCS - ZONAL CHIMBOTE|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259264|+ SIMPLE-CREACION 01 USUARIO|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259296|1 ASIGNACIÓN DE LISTA DE TRABAJO SRM|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259314|24 CREACION DE USUARIO GENIO|11/09/2017|Cerrado con observaciones|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259326|+ SIMPLE-CREACION 01 USUARIO|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259328|CREACION DE CITRIX Y APLICACIONES DE ATIS-GESTEL|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259357|12 TRABAJADORES - ELIMINAR TODOS LOS USUARIOS - LIDERES|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259371|01 trabajadores, 10 aplicativo, ELIMINAR POR CESE- FQ ICA 1|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259409|2 trabajadores, 02 aplicativos, USUARIO CITRIX Y STC, modificar.|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259412|CREAR USUARIO ATIS - GESTEL - CMD- USUARIO CALCULADORA ARPU.|11/09/2017|Procesando|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259430|1 trabajador, 01 aplicativo, WEB TGESTIONA, reseteo.|11/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259440|01 CREACION DE CITRIX Y STC - BACK|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259463|ELIMINACION 3 USUARIOS SOLO STC CAMBIO DE FUNCIONES|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259476|CREACION 2 USUARIOS INFODOC RETENCIONES MOVILES|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259480|1 trabajador, 2 aplicativos, DESBLOQUEO DE STC POR MATERNIDAD TARAPOTO|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259481|MODIFICACION DE PERFIL 1 USUARIO SRM RETENCIONES MOVILES|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259505|4 trabajadores, 15 aplicativos,VARIOS APLICATIVOS, crear|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259510|3 CREACION DE USUARIO CITRIX Y STC|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259515|2 CREACION DE USUARIO CITRIX Y STC|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259519|02 APLICATIVOS, 01 TRABAJADOR, VARIOS -MODIFICAR -CANAL SRM HUANUCO|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259549|08 USUARIOS 01 APLICATIVO CALCULADORA ARPU - CREAR|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259551|CREACION DE CODIGOS AG NEGOCIOS|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259580|+ SIMPLE CREACION 01 USUARIO|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259589|+ SIMPLE-MODIFICACION 02 USUARIO|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259606|Modificación rol TDAF_3 USUARIOS|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259607|MODIFICACION ROL TDAF_5 USUARIOS|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259636|20 CREACIONES DE CUENTA PDM|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259644|20 CREACIONES DE CUENTA INFODOC|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259660|CREACIÓN 27 USUARIOS GENIO - DIGITEX|12/09/2017|Cerrado con observaciones|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259661|01 trabajadores_1 aplicativo_Eliminar_Call_GSS|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259665|CREACIÓN 27 USUARIOS INFODOC - DIGITEX|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259671|CREACION CITRIX Otoniel Valera Granados|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259674|CREACION TGESTIONA CARABAYA Y FAUCETT|12/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259697|CREACION 5 USUARIOS CMS NEGOCIOS TOP|13/09/2017|Cerrado con observaciones|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259707|CREACION 13 USUARIOS INFODOC NEGOCIOS TOP|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259709|CREACION 16 USUARIOS GESTEL NEGCOIOS TOP|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259717|CREACIÓN DE 32 USUARIOS GENESYS - DIGITEX|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259721|CREACIÓN DE 16 USUARIOS INFODOC - DIGITEX|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259722|CREACIÓN DE 16 USUARIOS INFODOC - DIGITEX|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259772|26 RESETEOS DE CUENTA EXPERTO E INTERCONNECT|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259805|Eliminar Usuarios y Aplicativos de Promotor|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259812|RESETEO 13 USUARIOS GENIO RETENCIONES MOVILES|13/09/2017|Cerrado con observaciones|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259813|RESETEO 10 USUARIOS GENIO RETENCIONES MOVILES|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259814|CREACIÓN DE 24 USUARIOS INFODOC FACTURA - DIGITEX|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259832|APOYO CON 1 CREACION USUARIO CUM / WEB CONTRATOS - ZONAL CAJAMARCA|13/09/2017|Procesando|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259833|05 Trabajadores,05 aplicativos MODIFICAR SRM ICONOS DESPLEGABLES -AT|13/09/2017|Procesando|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259842|CREACIÓN 01 USUARIOS WEB PREVENCIONES|13/09/2017|Rechazado|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259863|RESETEO 10 USUARIOS GENIO|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259865|CREACIÓN DE PINES 01 USUARIO PARA AUTORESETEO - DIGITEX|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259872|12 CREACIONES DE CUENTA WEB DE PREVENCIÓN|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259878|12 CREACIONES DE CUENTA INFODOC|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259886|APOYO CON 1 CREACION USUARIO +SIMPLE AMDOCS - ZONAL CHIMBOTE (PLAZA VEA )|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259888|01 CREACION GESTEL JPAJARES|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259896|2 Asesores 1 Aplicativo Doble sesión STC|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259905|ELIMINACION USUARIOS 8 ASESORES POR CESE RETENCIONES|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259919|ELIMINACION USUARIOS 4 ASESORES POR CESE RETENCIONES|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259927|21 Asesores 1 Aplicativo Crear INFODOC|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259933|25 CREACIONES DE CUENTA GENIO|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259935|25 CREACIONES DE CUENTA INFODOC|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259941|25 CREACIONES DE CUENTA WEB DE PREVENCIÓN|13/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259953|ELIMINACION USUARIOS 8 ASESORES POR CESE NEGOCIOS TOP TRUJILLO|14/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259954|ELIMINACION USUARIOS 10 ASESORES POR CESE NEGOCIOS TOP I|14/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259955|ELIMINACION USUARIOS 7 ASESORES POR CESE NEGOCIOS TOP II|14/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259956|1 trabajador, 01 aplicativo, WEB PORTABILIDAD STC6i, resetear|14/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259964|RESETEO DE 01 USUARIO EQUIFAX - DIGITEX|14/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259980|1 USUARIO MODIFICACION DE STC 400|14/09/2017|Cerrado con observaciones|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259996|1 USUARIO RESETEO STC 6i PROYECTO PORTABILIDAD|14/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|259997|CREACIÓN 03 USUARIOS FUNCIONARIO - DIGITEX|14/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|260001|TGESTIONA OTONIEL / ANTHONY|14/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|260029|CREACIÓN 02 USUARIOS FUNCIONARIO - DIGITEX|14/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|260031|1 trabajador, 01 aplicativo ARES, asignacion|14/09/2017|Rechazado|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|260039|01 TRABAJADOR RESETEO CONTRASEÑA + SIMPLE CONNIE MARTINEZ|14/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|260040|CREACION CITRIX CRAM TELECOM - FRANQUICIA NEGOCIO|14/09/2017|Cerrado con observaciones|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|260042|1 TRABAJADOR - CREAR MAS SIMPLE - LIDERES|14/09/2017|Atendido|20/09/2017
